protein_name,weight_pathogenic,mean_pathogenic,mean_benign,std_dev_pathogenic,std_dev_benign
main,0.5126228631831037,7.82923336480121,4.435016772753495,3.165330818242054,2.9391037237270075
1433G_HUMAN,0.4362022016527031,11.899000356861825,5.266509267180499,2.014535529843315,3.2549113223244444
1433Z_HUMAN,0.44666373861726116,13.251141437079031,6.308371344672968,2.103517967767026,3.4460349919122177
2A5D_HUMAN,0.5008772177010977,10.564733024021901,5.496172038159287,1.8789649529869337,3.247389712923012
2A5G_HUMAN,0.5034246733520424,10.049788531582848,5.227390177203505,1.811887571947987,3.045201277376277
2AAA_HUMAN,0.6881819115018657,11.691973875122804,4.886939327342691,3.9039995740502764,3.374701676033768
2AAB_HUMAN,0.6158253604074048,10.688442354751615,4.661390842640569,2.721827082996278,2.985812771441839
3BHS2_HUMAN,0.5733284251054467,8.596533747325543,4.853933580361981,2.024945071344664,2.9583501627800404
3BHS7_HUMAN,0.5011497473072701,9.01134798001689,3.877680964919386,2.2518608832805778,2.68281355400721
3BP2_HUMAN,0.2889663867624582,5.9902481661758165,2.7829645667430927,0.34461635029123183,1.8288569331720668
3MG_HUMAN,0.3748938488252484,9.159414628748426,3.4931978812258095,1.573954992671449,2.7165717941300533
5NT3A_HUMAN,0.5545679602918412,8.992574470928522,4.427911821728726,3.728985700319815,2.9008741930891744
5NTD_HUMAN,0.48461153061813705,6.9834439623909965,4.329604626477181,2.2474747598801845,2.9991260720311455
A1ATR_HUMAN,0.4050205915941968,5.98336764976965,3.697183204309506,2.4196234439146784,2.8047269269148534
A1AT_HUMAN,0.5437546191974741,7.456830098975715,4.87176289566012,1.9983102517360285,2.9739004673113008
A2AP_HUMAN,0.4037689049005183,6.869837447498764,3.0528837128973216,2.3522420564672375,2.4722673621022846
A4_HUMAN,0.5047715409462395,7.239779659587708,4.0523375536386,0.8919081870359894,2.067792763625257
AAAS_HUMAN,0.5488745915970719,9.06389142665414,4.626262002135993,2.435640585104799,2.723557379480209
AACT_HUMAN,0.49969045921182614,7.703021511515554,4.240216886479833,2.0086643246084925,2.8429344904597835
AAKG2_HUMAN,0.28149592891139513,12.265665829488594,6.03225319028801,1.5465416386276363,3.541113164842189
AAR2_HUMAN,0.5953842202907825,9.593608478001476,4.728282548001355,3.491647751309226,2.9710480918972593
AASS_HUMAN,0.40157523495141273,9.244717995439055,5.000381045039785,1.4745530780597287,2.798532050410552
AATM_HUMAN,0.544204556852465,8.538754173129307,4.80543953805995,1.8215731441949885,2.537353782667846
ABCA1_HUMAN,0.3211197634428067,13.053741280255283,6.234565622197163,2.2070307679027867,3.30089716186785
ABCA3_HUMAN,0.5092212305872993,8.286690455551387,4.308099286292052,2.246208455979982,2.6846442998919335
ABCA4_HUMAN,0.32378884949077985,9.842750249691969,4.701523299220037,1.6876192476138945,3.122791051842213
ABCAC_HUMAN,0.5135723453618384,8.849014545653226,3.6590741056872185,2.8141371199525627,2.544639259280284
ABCBB_HUMAN,0.5272738269318308,8.477806977536003,4.334937913612104,2.6683879312916705,2.972049868908118
ABCC8_HUMAN,0.581820595932537,6.321882672750718,3.71923986440858,0.785653320880549,2.0018361671874945
ABCC9_HUMAN,0.5594857436168074,5.943983254782975,2.8861959415997873,0.6895922142645436,2.0602240780659486
ABCD1_HUMAN,0.3207385676142967,11.062232514217921,5.100770311160999,1.668278578744793,3.2970738241854294
ABCG8_HUMAN,0.4739317094891882,6.9380714436053115,4.32820367412299,2.4371567313611413,2.8711997445680613
ABD12_HUMAN,0.4896894071143099,7.823531202187465,4.387494832901709,1.9715774994340018,2.4868668765331035
ABHD5_HUMAN,0.5487672978938329,8.794881226996324,4.422012854489542,3.848398361295142,3.237292513816041
ABL1_HUMAN,0.5213713864329154,6.984226211629983,3.676938959752917,0.7046429458312468,1.931359791816355
ABRX1_HUMAN,0.5177635779293492,7.409776520860329,4.071452505054139,1.5483443189373476,2.6610406571984204
ACAD8_HUMAN,0.6031745359669899,9.126586436024013,4.887159301085381,2.498921211758151,3.298090137254806
